click_id,customer_id,page_name,session_id,device_type,click_timestamp
1,24,Home,5c68a4fd-6913-424c-9524-e540dac4db2b,Mobile,2026-03-05 08:11:43.741453
2,5,Home,1b5231cc-2092-4b9b-a8fb-4999caa0d922,Desktop,2026-01-10 00:29:43.741453
3,89,Support,287d18a2-115a-46d6-94dc-d90d728b3e24,Mobile,2025-10-17 22:28:43.741453
4,7,Products,01354a55-62e1-4492-9ca5-17efda68795d,Desktop,2025-07-13 19:05:43.741453
5,47,Profile,e5653594-0c1c-41d4-9497-cef34a92490c,Mobile,2026-05-02 01:39:43.741453
6,78,Cart,48ed695a-d4da-41a1-95c7-1d47b64399e0,Mobile,2025-12-27 10:20:43.741453
7,1,Profile,a461f9fb-a2c8-464e-ab90-467ff869f72e,Mobile,2025-06-14 22:26:43.741453
8,9,Profile,47c67b41-2e76-435d-9f73-3f51803eddd6,Tablet,2026-02-25 02:30:43.741453
9,40,Profile,959da2d2-4af6-4c56-9590-c847b734ad25,Desktop,2026-02-26 08:34:43.741453
10,86,Profile,a3a7871e-0761-4c35-81b1-53e5b1bd382f,Mobile,2025-11-01 03:05:43.741453
11,56,Products,959e03bf-777f-41a5-a3ef-1d15be0b9fe9,Desktop,2026-01-15 11:31:43.741453
12,13,Checkout,59893b45-ec4a-4976-99bf-5710ca9b6431,Tablet,2026-01-07 11:45:43.741453
13,61,Profile,77905d2f-dc9d-4d59-af6d-5b6b9f16a6e1,Desktop,2026-03-21 09:18:43.741453
14,61,Cart,a5ce37df-1f03-40c7-bd9d-b302a832788e,Mobile,2026-04-10 01:01:43.741453
15,68,Cart,0d0cbe88-07c9-4baa-9fd9-114c295a2397,Tablet,2025-07-05 05:42:43.741453
16,63,Support,8b3b7e19-3686-49e5-aa0c-1db3aff50296,Desktop,2025-06-03 04:23:43.741453
17,25,Profile,1a5eab10-4edf-4a47-a2f6-d3ecf040a173,Mobile,2026-02-12 15:28:43.741453
18,77,Support,56d9c014-de0d-4ccb-a52c-91c15fee3f73,Tablet,2026-02-14 14:38:43.741453
19,56,Profile,8efa98b9-37f7-4423-b7d0-801d4f3fd551,Mobile,2025-11-12 22:46:43.741453
20,20,Home,2e85e86e-237d-444d-8bec-42836674ec2a,Mobile,2026-03-27 21:53:43.741453
21,98,Home,2c65254e-a7e9-4caa-84ad-8d2c6065cd87,Mobile,2025-12-15 04:31:43.741453
22,66,Support,467e8e41-88c3-44d4-a4dc-509c7a83cbf1,Desktop,2026-01-05 05:00:43.741453
23,88,Deals,ca98e0c5-675f-4eb3-a91a-6477742322dc,Mobile,2025-10-05 22:41:43.741453
24,55,Home,caf8b410-b898-48c0-a9dd-a302e2f28fdb,Mobile,2025-11-09 13:29:43.741453
25,65,Checkout,8d536fc7-9847-4bc2-b574-b091826b3fec,Mobile,2025-12-05 07:46:43.741453
26,28,Checkout,7f24b667-f384-4710-9dc7-40a973fa47af,Desktop,2026-01-01 18:09:43.741453
27,17,Deals,531f986b-ab11-4425-8c74-99f550f9cb82,Mobile,2025-10-25 13:07:43.741453
